comments,created,expected,id,input,metadata,root_span_id,tags
,2026-03-12T14:23:11Z,,a1b2c3d4-0001-4000-8000-000000000001,"PLG-first B2B devtools startups under $500M ARR","{""query_type"": ""segment_specific"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false, ""failure_mode"": ""jargon_misparse"", ""source_ticket"": ""TKT-001"", ""regression"": true}",a1b2c3d4-0001-4000-8000-000000000001,regression
,2026-03-14T09:05:44Z,,a1b2c3d4-0002-4000-8000-000000000002,"coworking space companies 2025","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false, ""failure_mode"": ""stale_entity"", ""source_ticket"": ""TKT-002"", ""regression"": true}",a1b2c3d4-0002-4000-8000-000000000002,regression
,2026-03-15T16:41:02Z,,a1b2c3d4-0003-4000-8000-000000000003,"project management tools for enterprise teams","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false, ""failure_mode"": ""latency"", ""source_ticket"": ""TKT-003"", ""regression"": true, ""note"": ""performance regression — not a content eval""}",a1b2c3d4-0003-4000-8000-000000000003,regression
,2026-03-17T11:18:29Z,,a1b2c3d4-0004-4000-8000-000000000004,"digital banks in Nigeria","{""query_type"": ""direct_category"", ""domain"": ""financial"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false, ""failure_mode"": ""refused_valid_query"", ""source_ticket"": ""TKT-004"", ""regression"": true}",a1b2c3d4-0004-4000-8000-000000000004,regression
,2026-03-18T08:52:37Z,,a1b2c3d4-0005-4000-8000-000000000005,"social networking platforms in 2008","{""query_type"": ""historical_snapshot"", ""domain"": ""tech_saas"", ""style"": ""well_specified"", ""temporal"": ""historical"", ""edge_case"": false, ""failure_mode"": ""temporal_override"", ""source_ticket"": ""TKT-005"", ""regression"": true}",a1b2c3d4-0005-4000-8000-000000000005,regression
,2026-03-19T13:07:55Z,,a1b2c3d4-0006-4000-8000-000000000006,"e-commerce platforms in Southeast Asia","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false, ""failure_mode"": ""geography_ignored"", ""source_ticket"": ""TKT-006"", ""regression"": true}",a1b2c3d4-0006-4000-8000-000000000006,regression
,2026-03-20T15:33:18Z,,a1b2c3d4-0007-4000-8000-000000000007,"payment processors in Europe","{""query_type"": ""direct_category"", ""domain"": ""financial"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false, ""failure_mode"": ""currency_mismatch"", ""source_ticket"": ""TKT-007"", ""regression"": true}",a1b2c3d4-0007-4000-8000-000000000007,regression
,2026-03-21T10:44:06Z,,a1b2c3d4-0008-4000-8000-000000000008,"cloud data warehouse vendors","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false, ""failure_mode"": ""hallucinated_citation"", ""source_ticket"": ""TKT-008"", ""regression"": true}",a1b2c3d4-0008-4000-8000-000000000008,regression
,2026-03-22T09:21:43Z,,a1b2c3d4-0009-4000-8000-000000000009,"global fintech companies by revenue","{""query_type"": ""direct_category"", ""domain"": ""financial"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false, ""failure_mode"": ""implausible_metric"", ""source_ticket"": ""TKT-009"", ""regression"": true}",a1b2c3d4-0009-4000-8000-000000000009,regression
,2026-03-24T14:02:31Z,,a1b2c3d4-0010-4000-8000-000000000010,"UPI payment apps in India","{""query_type"": ""direct_category"", ""domain"": ""financial"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false, ""failure_mode"": ""geography_ignored"", ""source_ticket"": ""TKT-010"", ""regression"": true}",a1b2c3d4-0010-4000-8000-000000000010,regression
