comments,created,expected,id,input,metadata,root_span_id,tags
,2026-04-10T10:00:00.000Z,,22aaac1f-574e-486c-bebf-37eafeb2ef5b,"""hospital EHR vendors 2025""","{""query_type"": ""direct_category"", ""domain"": ""healthcare"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",22aaac1f-574e-486c-bebf-37eafeb2ef5b,
,2026-04-10T10:00:00.000Z,,90ac2c86-ef2a-4dfd-9807-bed489cf9e4f,"""remote patient monitoring companies""","{""query_type"": ""direct_category"", ""domain"": ""healthcare"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",90ac2c86-ef2a-4dfd-9807-bed489cf9e4f,
,2026-04-10T10:00:00.000Z,,eebe8159-eebf-48e5-ad7e-331901874741,"""healthcare billing software""","{""query_type"": ""direct_category"", ""domain"": ""healthcare"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",eebe8159-eebf-48e5-ad7e-331901874741,
,2026-04-10T10:00:00.000Z,,8bab246a-3643-4d81-95e6-b825130db2ab,"""AI diagnostics startups for radiology""","{""query_type"": ""segment_specific"", ""domain"": ""healthcare"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",8bab246a-3643-4d81-95e6-b825130db2ab,
,2026-04-10T10:00:00.000Z,,ddc52a5f-7f00-4660-a92b-b8ea0c6d8172,"""EHR companies before meaningful use mandate in 2009""","{""query_type"": ""historical_snapshot"", ""domain"": ""healthcare"", ""style"": ""well_specified"", ""temporal"": ""historical"", ""edge_case"": false}",ddc52a5f-7f00-4660-a92b-b8ea0c6d8172,
,2026-04-10T10:00:00.000Z,,ea3a1bae-e442-4c5a-a7df-ce7e5a3575ad,"""personal finance apps""","{""query_type"": ""direct_category"", ""domain"": ""financial"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",ea3a1bae-e442-4c5a-a7df-ce7e5a3575ad,
,2026-04-10T10:00:00.000Z,,71bbf9b0-804a-4ac2-b6d8-b2f7526ea30d,"""B2B payments infrastructure""","{""query_type"": ""direct_category"", ""domain"": ""financial"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",71bbf9b0-804a-4ac2-b6d8-b2f7526ea30d,
,2026-04-10T10:00:00.000Z,,0834b028-97ba-49e2-a118-edb5b42a61fe,"""neobanks for small businesses""","{""query_type"": ""segment_specific"", ""domain"": ""financial"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",0834b028-97ba-49e2-a118-edb5b42a61fe,
,2026-04-10T10:00:00.000Z,,06cf2818-7518-4397-a5c8-b4bdbb150d30,"""crypto exchanges by trading volume""","{""query_type"": ""direct_category"", ""domain"": ""financial"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",06cf2818-7518-4397-a5c8-b4bdbb150d30,
,2026-04-10T10:00:00.000Z,,1ea15383-2b99-4f7a-9523-dd1f939d86b0,"""what fintechs could JPMorgan acquire with its 2025 cash reserves?""","{""query_type"": ""acquisition_targets"", ""domain"": ""financial"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",1ea15383-2b99-4f7a-9523-dd1f939d86b0,
,2026-04-10T10:00:00.000Z,,7d552890-f425-438c-a575-c2fa4303da1e,"""streaming video services""","{""query_type"": ""direct_category"", ""domain"": ""consumer_brand"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",7d552890-f425-438c-a575-c2fa4303da1e,
,2026-04-10T10:00:00.000Z,,fc496367-15c8-4094-be69-d6017ec23225,"""fast casual restaurant chains by revenue""","{""query_type"": ""direct_category"", ""domain"": ""consumer_brand"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",fc496367-15c8-4094-be69-d6017ec23225,
,2026-04-10T10:00:00.000Z,,988e4988-b3d7-4bc4-8800-33ee90b47aaf,"""direct-to-consumer mattress brands""","{""query_type"": ""segment_specific"", ""domain"": ""consumer_brand"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",988e4988-b3d7-4bc4-8800-33ee90b47aaf,
,2026-04-10T10:00:00.000Z,,8e724eb3-8c22-474b-b9a9-c403a0de9355,"""running shoe brands by revenue""","{""query_type"": ""direct_category"", ""domain"": ""consumer_brand"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",8e724eb3-8c22-474b-b9a9-c403a0de9355,
,2026-04-10T10:00:00.000Z,,f0abe7cc-d92d-4e4a-b47a-40b52f752977,"""social media platforms by monthly active users""","{""query_type"": ""direct_category"", ""domain"": ""consumer_brand"", ""style"": ""well_specified"", ""temporal"": ""current"", ""edge_case"": false}",f0abe7cc-d92d-4e4a-b47a-40b52f752977,
