comments,created,expected,id,input,metadata,root_span_id,tags
,2026-04-15T10:00:00.000Z,,76a5646d-6345-401d-9bf5-00f73016b7b3,"""CRM software vendors ranked by customer NPS score""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",76a5646d-6345-401d-9bf5-00f73016b7b3,
,2026-04-15T10:00:00.000Z,,4c768b85-b77f-48e2-913f-edcd31a5c792,"""cloud storage companies ranked by uptime SLA""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",4c768b85-b77f-48e2-913f-edcd31a5c792,
,2026-04-15T10:00:00.000Z,,438951ee-5ffb-4978-baaa-e3f56c1beeb5,"""HR software vendors ranked by employee headcount""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",438951ee-5ffb-4978-baaa-e3f56c1beeb5,
,2026-04-15T10:00:00.000Z,,b8dadb31-da56-4919-ba97-14b099675340,"""developer tools ranked by GitHub stars""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",b8dadb31-da56-4919-ba97-14b099675340,
,2026-04-15T10:00:00.000Z,,6e0f9128-206c-450d-a279-e7ab65242603,"""email marketing platforms ranked by deliverability rate""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",6e0f9128-206c-450d-a279-e7ab65242603,
,2026-04-15T10:00:00.000Z,,345bd6c2-75a3-4689-8711-beece5fe6b0e,"""project management software ranked by G2 satisfaction score""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",345bd6c2-75a3-4689-8711-beece5fe6b0e,
,2026-04-15T10:00:00.000Z,,761ca30c-71f2-4c98-b324-39820ddbe327,"""data warehouses ranked by query performance benchmarks""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",761ca30c-71f2-4c98-b324-39820ddbe327,
,2026-04-15T10:00:00.000Z,,06723667-3299-4a23-9c15-9c39536abb49,"""identity providers ranked by number of security certifications""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",06723667-3299-4a23-9c15-9c39536abb49,
,2026-04-15T10:00:00.000Z,,1e3379c2-ceb3-4d00-b376-cb914e9cb09b,"""customer support platforms ranked by median first response time""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",1e3379c2-ceb3-4d00-b376-cb914e9cb09b,
,2026-04-15T10:00:00.000Z,,5b5ae42e-746c-4874-8770-ee39dc7f0efd,"""e-commerce platforms ranked by average conversion rate""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",5b5ae42e-746c-4874-8770-ee39dc7f0efd,
,2026-04-15T10:00:00.000Z,,eeb3ce66-b327-42be-b281-50774a97521d,"""cybersecurity vendors ranked by mean time to detect breaches""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",eeb3ce66-b327-42be-b281-50774a97521d,
,2026-04-15T10:00:00.000Z,,ffcfd9cb-76ff-4b88-b538-ceff5f1af8d1,"""applicant tracking systems ranked by time-to-hire reduction""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",ffcfd9cb-76ff-4b88-b538-ceff5f1af8d1,
,2026-04-15T10:00:00.000Z,,599a7b10-7fc6-40e9-b695-a1a0d91efc24,"""content management systems ranked by core web vitals score""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",599a7b10-7fc6-40e9-b695-a1a0d91efc24,
,2026-04-15T10:00:00.000Z,,f5b2dc4d-d9d9-4bd6-bdce-3801852e4309,"""ERP systems ranked by implementation success rate""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",f5b2dc4d-d9d9-4bd6-bdce-3801852e4309,
,2026-04-15T10:00:00.000Z,,3440a1be-6243-4f30-a1a4-3668e9a9d4d5,"""BI tools ranked by dashboard load time""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",3440a1be-6243-4f30-a1a4-3668e9a9d4d5,
,2026-04-15T10:00:00.000Z,,1db6b0d7-baa1-4f5d-b7b4-d584b911f3fa,"""marketing automation platforms ranked by email open rate""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",1db6b0d7-baa1-4f5d-b7b4-d584b911f3fa,
,2026-04-15T10:00:00.000Z,,152d9517-336d-49a9-97d5-26cb30fe1ce3,"""API management platforms ranked by uptime SLA""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""multi_constraint"", ""temporal"": ""current"", ""edge_case"": false}",152d9517-336d-49a9-97d5-26cb30fe1ce3,
